CustomerID,Senior Citizen,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,City,Zip Code,Gender,Churn Value,Churn Score,CLTV,Churn Reason,Age,Under 30,Married,Number of Dependents,Population,Referred a Friend,Number of Referrals,Offer,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Streaming Music,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Category
7590-VHVEG,No,No,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,Los Angeles,90001,Female,0,27,3964,Active Subscriber,36,No,Yes,0,54492,No,0,Offer E,0.0,10,No,Yes,0.0,0,0.0,29.85,3,Joined,Active Subscriber
5575-GNVDE,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,Los Angeles,90002,Male,0,61,3441,Active Subscriber,46,No,No,0,44586,No,0,No Offer,17.09,16,No,Yes,0.0,0,581.06,2470.56,3,Stayed,Active Subscriber
3668-QPYBK,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,Los Angeles,90003,Male,1,86,3239,Competitor made better offer,37,No,No,0,58198,No,0,No Offer,10.47,21,No,Yes,0.0,0,20.94,129.09,1,Churned,Competitor
7795-CFOCW,No,No,45,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,Los Angeles,90004,Male,0,66,4307,Active Subscriber,53,No,No,0,67852,No,0,No Offer,0.0,10,No,Yes,0.0,0,0.0,1840.75,3,Stayed,Active Subscriber
9237-HQITU,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,Los Angeles,90005,Female,1,67,2701,Moved,19,Yes,No,2,43019,No,0,No Offer,9.12,51,No,Yes,0.0,0,18.24,169.89,2,Churned,Other
9305-CDSKC,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,Los Angeles,90006,Female,1,86,5372,Moved,31,No,No,2,62784,No,0,No Offer,12.15,26,Yes,Yes,0.0,0,97.2,917.7,3,Churned,Other
1452-KIOVK,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,Los Angeles,90007,Male,0,43,4459,Active Subscriber,42,No,No,3,45025,No,0,Offer D,29.54,53,No,Yes,0.0,0,649.88,2599.28,4,Stayed,Active Subscriber
6713-OKOMC,No,No,10,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,Los Angeles,90008,Female,0,51,2013,Active Subscriber,42,No,No,0,30852,No,0,Offer D,0.0,8,No,Yes,0.0,0,0.0,301.9,3,Stayed,Active Subscriber
7892-POOKP,No,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,Los Angeles,90010,Female,1,84,5003,Moved,23,Yes,Yes,3,1957,No,0,Offer C,4.89,47,Yes,Yes,0.0,0,136.92,3182.97,3,Churned,Other
6388-TABGU,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,Los Angeles,90011,Male,0,58,4529,Active Subscriber,48,No,No,0,101215,No,0,Offer B,7.96,8,No,Yes,0.0,0,493.52,3981.47,4,Stayed,Active Subscriber
